Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='cls_1024', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 118, loss: 1.459919, train acc: 0.948290, train avg acc: 0.921397
Test 118, loss: 1.487315, test acc: 0.916126, test avg acc: 0.867500
Train 119, loss: 1.451245, train acc: 0.950122, train avg acc: 0.922719
Test 119, loss: 1.503711, test acc: 0.896272, test avg acc: 0.864180
Train 120, loss: 1.447738, train acc: 0.951445, train avg acc: 0.927787
Test 120, loss: 1.483067, test acc: 0.908833, test avg acc: 0.874919
Train 121, loss: 1.455213, train acc: 0.951547, train avg acc: 0.926630
Test 121, loss: 1.482044, test acc: 0.910454, test avg acc: 0.867884
Train 122, loss: 1.448360, train acc: 0.951242, train avg acc: 0.926700
Test 122, loss: 1.468604, test acc: 0.919773, test avg acc: 0.882407
Train 123, loss: 1.443643, train acc: 0.952769, train avg acc: 0.928665
Test 123, loss: 1.487764, test acc: 0.905592, test avg acc: 0.871831
Train 124, loss: 1.447038, train acc: 0.952260, train avg acc: 0.926559
Test 124, loss: 1.504718, test acc: 0.908428, test avg acc: 0.862942
Train 125, loss: 1.444256, train acc: 0.954703, train avg acc: 0.931223
Test 125, loss: 1.482020, test acc: 0.916937, test avg acc: 0.887244
Train 126, loss: 1.447166, train acc: 0.955008, train avg acc: 0.933738
Test 126, loss: 1.489771, test acc: 0.911264, test avg acc: 0.866785
Train 127, loss: 1.443685, train acc: 0.954397, train avg acc: 0.929550
Test 127, loss: 1.474201, test acc: 0.915316, test avg acc: 0.884884
Train 128, loss: 1.436141, train acc: 0.959691, train avg acc: 0.937748
Test 128, loss: 1.510887, test acc: 0.914100, test avg acc: 0.869302
Train 129, loss: 1.433177, train acc: 0.957757, train avg acc: 0.936442
Test 129, loss: 1.494010, test acc: 0.906402, test avg acc: 0.874343
Train 130, loss: 1.435261, train acc: 0.958876, train avg acc: 0.937332
Test 130, loss: 1.492452, test acc: 0.909643, test avg acc: 0.870169
Train 131, loss: 1.435765, train acc: 0.958367, train avg acc: 0.937352
Test 131, loss: 1.473997, test acc: 0.909643, test avg acc: 0.882302
Train 132, loss: 1.427797, train acc: 0.963457, train avg acc: 0.943024
Test 132, loss: 1.482994, test acc: 0.909238, test avg acc: 0.879797
Train 133, loss: 1.430787, train acc: 0.959487, train avg acc: 0.938488
Test 133, loss: 1.475746, test acc: 0.912075, test avg acc: 0.866645
Train 134, loss: 1.432170, train acc: 0.959080, train avg acc: 0.936600
Test 134, loss: 1.492262, test acc: 0.905997, test avg acc: 0.864297
Train 135, loss: 1.429788, train acc: 0.959792, train avg acc: 0.937539
Test 135, loss: 1.523245, test acc: 0.890600, test avg acc: 0.870791
Train 136, loss: 1.427420, train acc: 0.961726, train avg acc: 0.942808
Test 136, loss: 1.471043, test acc: 0.917747, test avg acc: 0.880076
Train 137, loss: 1.426071, train acc: 0.960810, train avg acc: 0.940105
Test 137, loss: 1.474406, test acc: 0.908428, test avg acc: 0.871535
Train 138, loss: 1.421449, train acc: 0.962032, train avg acc: 0.943665
Test 138, loss: 1.488123, test acc: 0.919773, test avg acc: 0.886581
Train 139, loss: 1.419178, train acc: 0.964780, train avg acc: 0.945960
Test 139, loss: 1.513613, test acc: 0.895867, test avg acc: 0.878547
Train 140, loss: 1.417663, train acc: 0.964373, train avg acc: 0.944801
Test 140, loss: 1.472072, test acc: 0.915316, test avg acc: 0.874076
Train 141, loss: 1.416862, train acc: 0.966205, train avg acc: 0.947972
Test 141, loss: 1.526729, test acc: 0.904781, test avg acc: 0.875192
Train 142, loss: 1.415958, train acc: 0.964780, train avg acc: 0.946140
Test 142, loss: 1.467761, test acc: 0.914911, test avg acc: 0.875331
Train 143, loss: 1.416023, train acc: 0.963457, train avg acc: 0.944993
Test 143, loss: 1.503518, test acc: 0.901135, test avg acc: 0.873715
Train 144, loss: 1.416354, train acc: 0.966002, train avg acc: 0.948182
Test 144, loss: 1.460667, test acc: 0.916532, test avg acc: 0.887337
Train 145, loss: 1.420211, train acc: 0.962643, train avg acc: 0.944066
Test 145, loss: 1.471904, test acc: 0.914911, test avg acc: 0.882285
Train 146, loss: 1.413232, train acc: 0.966409, train avg acc: 0.948415
Test 146, loss: 1.464578, test acc: 0.913695, test avg acc: 0.879965
Train 147, loss: 1.412429, train acc: 0.966002, train avg acc: 0.946239
Test 147, loss: 1.462103, test acc: 0.915721, test avg acc: 0.874000
Train 148, loss: 1.408435, train acc: 0.966714, train avg acc: 0.949196
Test 148, loss: 1.493004, test acc: 0.904781, test avg acc: 0.878052
Train 149, loss: 1.407688, train acc: 0.967630, train avg acc: 0.952143
Test 149, loss: 1.477599, test acc: 0.910049, test avg acc: 0.874314
Train 150, loss: 1.405519, train acc: 0.967630, train avg acc: 0.950286
Test 150, loss: 1.477395, test acc: 0.911264, test avg acc: 0.877831
Train 151, loss: 1.404141, train acc: 0.970480, train avg acc: 0.954866
Test 151, loss: 1.474864, test acc: 0.912480, test avg acc: 0.873994
Train 152, loss: 1.408518, train acc: 0.967732, train avg acc: 0.949292
Test 152, loss: 1.462748, test acc: 0.914911, test avg acc: 0.880047
Train 153, loss: 1.399541, train acc: 0.971295, train avg acc: 0.954998
Test 153, loss: 1.460922, test acc: 0.916532, test avg acc: 0.880709
Train 154, loss: 1.397255, train acc: 0.975366, train avg acc: 0.961302
Test 154, loss: 1.487639, test acc: 0.906402, test avg acc: 0.882209
Train 155, loss: 1.400826, train acc: 0.971193, train avg acc: 0.956225
Test 155, loss: 1.470783, test acc: 0.914100, test avg acc: 0.882634
Train 156, loss: 1.397582, train acc: 0.970888, train avg acc: 0.953654
Test 156, loss: 1.486099, test acc: 0.912075, test avg acc: 0.879837
Train 157, loss: 1.394929, train acc: 0.972822, train avg acc: 0.958208
Test 157, loss: 1.449897, test acc: 0.923420, test avg acc: 0.884541
Train 158, loss: 1.393112, train acc: 0.973331, train avg acc: 0.960579
Test 158, loss: 1.455376, test acc: 0.915316, test avg acc: 0.886535
Train 159, loss: 1.395065, train acc: 0.972313, train avg acc: 0.956277
Test 159, loss: 1.472697, test acc: 0.910859, test avg acc: 0.874169
