Namespace(batch_size=32, class_choice='airplane', dataset='shapenetpart', dropout=0.5, emb_dims=1024, epochs=200, eval=False, exp_name='partseg_airplane', k=40, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=2048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, visu='airplane_0', visu_format='ply')
Using GPU : 0 from 1 devices
Test 70, loss: 0.823436, test acc: 0.914814, test avg acc: 0.880030, test iou: 0.828239
Train 71, loss: 0.777731, train acc: 0.952854, train avg acc: 0.945890, train iou: 0.890787
Test 71, loss: 0.832452, test acc: 0.909407, test avg acc: 0.882453, test iou: 0.808177
Train 72, loss: 0.777677, train acc: 0.952756, train avg acc: 0.945612, train iou: 0.890803
Test 72, loss: 0.826781, test acc: 0.911827, test avg acc: 0.898349, test iou: 0.812597
Train 73, loss: 0.776611, train acc: 0.953657, train avg acc: 0.946719, train iou: 0.891243
Test 73, loss: 0.827520, test acc: 0.913291, test avg acc: 0.895769, test iou: 0.807100
Train 74, loss: 0.776522, train acc: 0.953733, train avg acc: 0.946525, train iou: 0.892453
Test 74, loss: 0.839322, test acc: 0.906753, test avg acc: 0.908625, test iou: 0.788790
Train 75, loss: 0.776543, train acc: 0.953666, train avg acc: 0.946596, train iou: 0.891773
Test 75, loss: 0.836196, test acc: 0.901054, test avg acc: 0.890547, test iou: 0.810133
Train 76, loss: 0.776327, train acc: 0.953796, train avg acc: 0.946712, train iou: 0.892511
Test 76, loss: 0.828035, test acc: 0.912835, test avg acc: 0.899051, test iou: 0.792070
Train 77, loss: 0.775898, train acc: 0.954245, train avg acc: 0.947224, train iou: 0.892092
Test 77, loss: 0.824822, test acc: 0.916538, test avg acc: 0.889429, test iou: 0.828936
Train 78, loss: 0.775932, train acc: 0.954223, train avg acc: 0.947162, train iou: 0.892722
Test 78, loss: 0.828962, test acc: 0.911992, test avg acc: 0.872860, test iou: 0.816032
Train 79, loss: 0.775285, train acc: 0.954852, train avg acc: 0.947784, train iou: 0.895416
Test 79, loss: 0.832932, test acc: 0.907638, test avg acc: 0.895530, test iou: 0.803503
Train 80, loss: 0.775269, train acc: 0.954757, train avg acc: 0.947897, train iou: 0.894267
Test 80, loss: 0.836647, test acc: 0.905487, test avg acc: 0.896441, test iou: 0.798850
Train 81, loss: 0.775708, train acc: 0.954353, train avg acc: 0.947161, train iou: 0.892444
Test 81, loss: 0.825082, test acc: 0.915661, test avg acc: 0.887773, test iou: 0.817074
Train 82, loss: 0.775672, train acc: 0.954338, train avg acc: 0.947238, train iou: 0.892764
Test 82, loss: 0.839518, test acc: 0.901898, test avg acc: 0.850303, test iou: 0.796571
Train 83, loss: 0.774801, train acc: 0.955201, train avg acc: 0.948329, train iou: 0.895210
Test 83, loss: 0.844774, test acc: 0.896125, test avg acc: 0.874683, test iou: 0.800255
Train 84, loss: 0.774461, train acc: 0.955372, train avg acc: 0.948565, train iou: 0.896198
Test 84, loss: 0.822068, test acc: 0.916093, test avg acc: 0.900452, test iou: 0.815518
Train 85, loss: 0.774041, train acc: 0.955759, train avg acc: 0.948833, train iou: 0.896401
Test 85, loss: 0.835773, test acc: 0.904171, test avg acc: 0.895509, test iou: 0.815405
Train 86, loss: 0.773741, train acc: 0.955916, train avg acc: 0.949127, train iou: 0.896910
Test 86, loss: 0.824306, test acc: 0.915414, test avg acc: 0.905927, test iou: 0.830423
Train 87, loss: 0.773848, train acc: 0.955843, train avg acc: 0.948693, train iou: 0.896369
Test 87, loss: 0.835062, test acc: 0.905958, test avg acc: 0.909746, test iou: 0.787617
Train 88, loss: 0.773183, train acc: 0.956474, train avg acc: 0.949494, train iou: 0.897779
Test 88, loss: 0.839176, test acc: 0.902549, test avg acc: 0.879832, test iou: 0.805762
Train 89, loss: 0.773100, train acc: 0.956510, train avg acc: 0.949387, train iou: 0.897453
Test 89, loss: 0.822893, test acc: 0.916220, test avg acc: 0.894983, test iou: 0.829794
Train 90, loss: 0.772697, train acc: 0.956838, train avg acc: 0.950008, train iou: 0.899562
Test 90, loss: 0.831879, test acc: 0.912843, test avg acc: 0.908344, test iou: 0.810251
Train 91, loss: 0.772964, train acc: 0.956689, train avg acc: 0.949665, train iou: 0.897000
Test 91, loss: 0.821373, test acc: 0.918269, test avg acc: 0.882739, test iou: 0.831354
Train 92, loss: 0.772681, train acc: 0.956810, train avg acc: 0.950001, train iou: 0.898387
Test 92, loss: 0.826979, test acc: 0.913884, test avg acc: 0.904116, test iou: 0.817026
Train 93, loss: 0.771897, train acc: 0.957614, train avg acc: 0.950735, train iou: 0.902185
Test 93, loss: 0.825892, test acc: 0.914724, test avg acc: 0.887113, test iou: 0.813030
Train 94, loss: 0.772155, train acc: 0.957310, train avg acc: 0.950300, train iou: 0.899826
Test 94, loss: 0.819533, test acc: 0.919757, test avg acc: 0.892246, test iou: 0.817628
Train 95, loss: 0.772223, train acc: 0.957266, train avg acc: 0.950415, train iou: 0.899410
Test 95, loss: 0.835394, test acc: 0.908384, test avg acc: 0.881914, test iou: 0.812581
Train 96, loss: 0.772101, train acc: 0.957293, train avg acc: 0.950465, train iou: 0.900178
Test 96, loss: 0.834447, test acc: 0.909642, test avg acc: 0.898234, test iou: 0.809556
Train 97, loss: 0.771403, train acc: 0.957924, train avg acc: 0.951053, train iou: 0.901438
Test 97, loss: 0.833676, test acc: 0.911008, test avg acc: 0.882657, test iou: 0.807786
Train 98, loss: 0.771229, train acc: 0.957966, train avg acc: 0.951039, train iou: 0.900746
Test 98, loss: 0.849633, test acc: 0.894818, test avg acc: 0.889508, test iou: 0.788802
Train 99, loss: 0.770543, train acc: 0.958694, train avg acc: 0.952235, train iou: 0.901681
Test 99, loss: 0.871393, test acc: 0.886401, test avg acc: 0.873938, test iou: 0.780006
Train 100, loss: 0.770805, train acc: 0.958308, train avg acc: 0.951382, train iou: 0.902155
Test 100, loss: 0.822456, test acc: 0.917193, test avg acc: 0.888058, test iou: 0.827578
Train 101, loss: 0.771172, train acc: 0.958060, train avg acc: 0.950943, train iou: 0.900026
Test 101, loss: 0.828872, test acc: 0.911512, test avg acc: 0.889741, test iou: 0.811649
Train 102, loss: 0.770766, train acc: 0.958381, train avg acc: 0.951397, train iou: 0.900054
Test 102, loss: 0.827571, test acc: 0.913394, test avg acc: 0.889679, test iou: 0.823231
Train 103, loss: 0.769968, train acc: 0.959152, train avg acc: 0.952589, train iou: 0.902984
Test 103, loss: 0.837517, test acc: 0.901900, test avg acc: 0.879477, test iou: 0.800979
Train 104, loss: 0.769854, train acc: 0.959223, train avg acc: 0.952321, train iou: 0.903611
Test 104, loss: 0.850392, test acc: 0.896172, test avg acc: 0.905659, test iou: 0.792636
Train 105, loss: 0.769561, train acc: 0.959452, train avg acc: 0.952615, train iou: 0.902613
Test 105, loss: 0.825258, test acc: 0.916985, test avg acc: 0.892179, test iou: 0.829330
Train 106, loss: 0.769724, train acc: 0.959334, train avg acc: 0.952544, train iou: 0.903775
Test 106, loss: 0.840362, test acc: 0.903421, test avg acc: 0.901149, test iou: 0.790931
Train 107, loss: 0.769226, train acc: 0.959714, train avg acc: 0.952914, train iou: 0.904364
Test 107, loss: 0.822285, test acc: 0.918045, test avg acc: 0.905215, test iou: 0.814303
Train 108, loss: 0.769778, train acc: 0.959180, train avg acc: 0.952437, train iou: 0.903804
Test 108, loss: 0.826872, test acc: 0.913511, test avg acc: 0.891634, test iou: 0.818368
Train 109, loss: 0.769566, train acc: 0.959428, train avg acc: 0.952401, train iou: 0.904747
Test 109, loss: 0.826089, test acc: 0.916255, test avg acc: 0.890661, test iou: 0.819167
Train 110, loss: 0.768700, train acc: 0.960156, train avg acc: 0.953389, train iou: 0.905237
Test 110, loss: 0.821556, test acc: 0.918874, test avg acc: 0.895115, test iou: 0.833308
Train 111, loss: 0.768868, train acc: 0.960049, train avg acc: 0.953270, train iou: 0.905275
Test 111, loss: 0.834025, test acc: 0.910319, test avg acc: 0.901572, test iou: 0.814292
Train 112, loss: 0.769047, train acc: 0.959830, train avg acc: 0.952944, train iou: 0.903973
Test 112, loss: 0.831007, test acc: 0.910543, test avg acc: 0.861228, test iou: 0.815256
Train 113, loss: 0.768119, train acc: 0.960759, train avg acc: 0.953981, train iou: 0.907238
Test 113, loss: 0.835751, test acc: 0.909370, test avg acc: 0.910467, test iou: 0.788357
Train 114, loss: 0.767880, train acc: 0.960823, train avg acc: 0.954122, train iou: 0.906799
Test 114, loss: 0.822381, test acc: 0.917926, test avg acc: 0.900361, test iou: 0.822078
Train 115, loss: 0.768150, train acc: 0.960604, train avg acc: 0.953801, train iou: 0.906204
Test 115, loss: 0.821414, test acc: 0.918736, test avg acc: 0.884691, test iou: 0.826229
Train 116, loss: 0.768002, train acc: 0.960726, train avg acc: 0.953996, train iou: 0.907183
Test 116, loss: 0.824012, test acc: 0.915818, test avg acc: 0.886213, test iou: 0.817099
Train 117, loss: 0.767781, train acc: 0.961040, train avg acc: 0.954202, train iou: 0.907911
Test 117, loss: 0.824764, test acc: 0.915447, test avg acc: 0.880884, test iou: 0.818983
Train 118, loss: 0.767606, train acc: 0.961014, train avg acc: 0.954497, train iou: 0.907511
Test 118, loss: 0.819091, test acc: 0.920625, test avg acc: 0.897589, test iou: 0.829728
Train 119, loss: 0.767396, train acc: 0.961222, train avg acc: 0.954530, train iou: 0.907298
Test 119, loss: 0.833021, test acc: 0.908273, test avg acc: 0.890416, test iou: 0.819740
Train 120, loss: 0.766877, train acc: 0.961686, train avg acc: 0.955096, train iou: 0.908926
Test 120, loss: 0.824913, test acc: 0.917065, test avg acc: 0.906299, test iou: 0.819596
Train 121, loss: 0.766551, train acc: 0.962006, train avg acc: 0.955537, train iou: 0.908386
Test 121, loss: 0.817767, test acc: 0.921412, test avg acc: 0.901438, test iou: 0.829545
Train 122, loss: 0.766793, train acc: 0.961759, train avg acc: 0.954945, train iou: 0.908837
Test 122, loss: 0.822681, test acc: 0.917167, test avg acc: 0.898139, test iou: 0.822889
Train 123, loss: 0.766600, train acc: 0.961888, train avg acc: 0.955461, train iou: 0.910242
Test 123, loss: 0.825438, test acc: 0.917810, test avg acc: 0.903550, test iou: 0.823971
Train 124, loss: 0.766228, train acc: 0.962292, train avg acc: 0.955770, train iou: 0.910746
Test 124, loss: 0.824054, test acc: 0.916608, test avg acc: 0.900199, test iou: 0.822396
Train 125, loss: 0.766316, train acc: 0.962221, train avg acc: 0.955703, train iou: 0.910554
Test 125, loss: 0.821163, test acc: 0.918865, test avg acc: 0.904967, test iou: 0.820645
Train 126, loss: 0.765938, train acc: 0.962547, train avg acc: 0.956002, train iou: 0.910785
Test 126, loss: 0.831039, test acc: 0.911024, test avg acc: 0.886536, test iou: 0.811135
Train 127, loss: 0.765378, train acc: 0.962957, train avg acc: 0.956481, train iou: 0.913110
Test 127, loss: 0.816840, test acc: 0.923635, test avg acc: 0.899541, test iou: 0.835548
Train 128, loss: 0.765823, train acc: 0.962633, train avg acc: 0.955977, train iou: 0.911311
Test 128, loss: 0.823428, test acc: 0.919810, test avg acc: 0.892965, test iou: 0.824368
Train 129, loss: 0.765724, train acc: 0.962725, train avg acc: 0.956208, train iou: 0.911329
Test 129, loss: 0.818931, test acc: 0.922736, test avg acc: 0.898282, test iou: 0.828510
Train 130, loss: 0.765602, train acc: 0.962796, train avg acc: 0.956530, train iou: 0.911339
Test 130, loss: 0.827814, test acc: 0.914853, test avg acc: 0.912442, test iou: 0.803761
Train 131, loss: 0.764967, train acc: 0.963229, train avg acc: 0.957089, train iou: 0.912861
Test 131, loss: 0.816091, test acc: 0.923486, test avg acc: 0.904727, test iou: 0.831829
Train 132, loss: 0.765067, train acc: 0.963139, train avg acc: 0.956780, train iou: 0.910945
Test 132, loss: 0.826856, test acc: 0.914536, test avg acc: 0.889641, test iou: 0.820189
Train 133, loss: 0.765093, train acc: 0.963246, train avg acc: 0.956734, train iou: 0.911178
Test 133, loss: 0.818448, test acc: 0.922240, test avg acc: 0.904776, test iou: 0.831042
Train 134, loss: 0.764601, train acc: 0.963482, train avg acc: 0.957055, train iou: 0.912930
Test 134, loss: 0.819568, test acc: 0.920926, test avg acc: 0.885375, test iou: 0.823579
Train 135, loss: 0.764573, train acc: 0.963590, train avg acc: 0.957167, train iou: 0.912506
Test 135, loss: 0.824204, test acc: 0.918282, test avg acc: 0.900369, test iou: 0.822401
Train 136, loss: 0.764681, train acc: 0.963532, train avg acc: 0.957097, train iou: 0.912056
Test 136, loss: 0.818549, test acc: 0.923210, test avg acc: 0.901012, test iou: 0.836245
Train 137, loss: 0.764623, train acc: 0.963612, train avg acc: 0.957296, train iou: 0.913267
Test 137, loss: 0.822670, test acc: 0.918673, test avg acc: 0.895228, test iou: 0.823807
Train 138, loss: 0.764314, train acc: 0.963825, train avg acc: 0.957571, train iou: 0.913813
Test 138, loss: 0.821395, test acc: 0.920036, test avg acc: 0.904894, test iou: 0.827941
Train 139, loss: 0.764625, train acc: 0.963472, train avg acc: 0.956942, train iou: 0.913406
Test 139, loss: 0.820421, test acc: 0.920430, test avg acc: 0.904131, test iou: 0.830091
Train 140, loss: 0.764227, train acc: 0.963943, train avg acc: 0.957704, train iou: 0.914372
Test 140, loss: 0.834021, test acc: 0.909370, test avg acc: 0.895389, test iou: 0.814619
Train 141, loss: 0.764125, train acc: 0.964043, train avg acc: 0.957768, train iou: 0.913706
Test 141, loss: 0.817524, test acc: 0.923255, test avg acc: 0.908862, test iou: 0.832834
Train 142, loss: 0.763845, train acc: 0.964167, train avg acc: 0.957716, train iou: 0.913644
Test 142, loss: 0.820308, test acc: 0.921315, test avg acc: 0.900268, test iou: 0.827576
Train 143, loss: 0.763770, train acc: 0.964298, train avg acc: 0.958061, train iou: 0.914570
Test 143, loss: 0.819960, test acc: 0.921990, test avg acc: 0.899130, test iou: 0.835997
